itemID,Tongan Word,Dictionary Page,Number of Letters,Number of Phonemes,Number of Moras,Part of Speech,Meaning in English,Number of Participants,Reaction Time,Accuracy
73,faiongoongo,73,11,9,6,noun, (n) reporter; newspaper correspondent,26,628,0.96
74,faitā,73,5,6,4,noun, (n) artist or photographer,24,501,1.00
75,faitoʻo,73,7,7,4,noun, (n) medicine or medical treatment of any kind,24,625,1.00
76,faitotonu,73,9,9,5,verb, (v) to do what is right and just,32,518,0.94
77,faiva,73,5,5,3,noun," (n) play, drama, concert, film; work, task, feat or game reguiring skill",24,533,0.96
78,faka-,73,4,4,2,prefix," (prefix) prefix denoting likeness, causation, supplying, having",24,725,0.83
79,fakaafe,73,7,7,4,verb, (v) to provide a meal for; entertain at a feast,26,577,1.00
80,fakaafe‘i,73,9,9,5,verb, (v) to invite (esp. to a meal),24,667,1.00
81,fakaanga,73,8,7,4,verb," (v) to criticize, to pass — critical remarks on, to take exception to",28,553,0.86
82,fakaangaanga,73,12,10,6,verb," (v) to plan to do something; to make plans, proposals, or preparations ",24,598,1.00
83,fakaasi,74,7,7,4,verb, (v) to peep or look at narrowly,24,677,0.88
84,fakaaʻu,74,7,7,4,verb, (v) to cause to reach or arrive; to take or send or deliver; to fulfil,24,537,1.00
85,fakaava,74,7,7,4,verb, (v) to open; to leave open,26,643,0.96
86,faka-e-,74,5,5,3,prefix," (prefix) pertaining to, concerned with, or being the concern of",24,699,0.92
87,fakaefaiako,74,11,11,7,adjective/adverb, (adj/adv) like or pertaining to a teacher or teachers,29,792,0.72
88,fakaefiafi,74,10,10,6,adjective/adverb, (adj/adv) like or pertaining to the afternoon or early evening,24,530,0.96
89,fakaekita,74,9,9,5,adjective/adverb," (adj/adv) personal(ly), individual(ly), concerned with oneself only",32,599,0.94
90,fakaekonga,74,10,9,5,adjective/adverb, (adj/adv) pertaining to a part or to each part separately; sectionally,24,745,0.88
91,fakaelaumālie,74,13,14,9,adjective/adverb," (adj/adv) pertaining to the soul or spirit (not the body), spiritual (ly)",24,609,0.96
92,fakaeloto,74,9,9,5,adjective/adverb, (adj/adv) pertaining to the mind or the inward person,29,571,0.90
93,fakaelotu,74,9,9,5,adjective/adverb, (adj/adv) pertaining to religion,24,548,0.92
94,fakaemali,74,9,9,5,adjective/adverb," (adj/adv) concerned with or pertaining to each married couple, conjugal",32,598,0.97
95,fakaengāue,74,10,10,7,adjective/adverb, (adj/adv) concerned with or pertaining to that particular kind or class of work or that department,24,648,0.96
96,fakaeono‘aho,74,12,12,7,adjective/adverb, (adj/adv) concerned with or pertaining to or done in days long ago,24,573,1.00
97,fakaeonopooni,74,13,13,8,adjective/adverb," (adj/adv) concerned with, pertaining to or done in these days",26,681,0.96
98,fakaepisinisi,74,13,13,7,adjective/adverb, (adj/adv) pertaining to business,24,806,0.92
99,fakaepule‘anga,74,14,13,7,adjective/adverb," (adj/adv) pertaining to the government, or to one government, or to each government separately",28,507,0.96
100,fakaesiasi,74,10,10,6,adjective/adverb," (adj/adv) pertaining to one or each church or denomination, denominational(ly)",24,690,0.88
101,fakaetangata,74,12,11,6,adjective/adverb," (adj/adv) human(ly), as a human being, as a man",24,569,0.88
102,fakaeve,74,7,7,4,verb, (v) to pick up the last bits of (leaving nothing),24,628,0.88
103,fakafaiako,74,10,10,6,adjective/adverb, (adj/adv) like or pertaining to a teacher; tutorial,26,527,1.00
104,fakafaifekau,74,12,12,7,adjective/adverb," (adj/adv) like or pertaining to a minister, ministerial, pastoral",24,690,0.96
105,fakafaito‘o,74,11,11,6,adjective/adverb," (adj/adv) medical(ly), medicinal(ly)",28,577,0.96
106,fakafalala,74,10,10,5,verb," (v) to lean, place in a leaning position",24,665,1.00
107,fakafalemahaki,74,14,14,7,adjective/adverb, (adj/adv) like or pertaining to a hospital; appropriate to a hospital,32,569,0.97
108,fakafaletolo,74,12,12,6,noun, (n) veranda,24,601,0.92
109,fakafāmili,74,10,11,6,adjective/adverb," (adj/adv) family as in family name, surname; as or like a family",24,706,1.00
110,fakafanau,74,9,9,5,adjective/adverb, (adj or adv) pertaining to or characteristic of children,26,568,0.96
111,fakafa‘ahi,75,10,10,5,adjective/adverb, (adj/adv) like or pertaining to a side or team; as sides or teams; (music) in harmony,24,608,1.00
112,fakafa‘ahinga,75,13,12,6,verb, (v) to classify,29,566,1.00
113,fakafa‘ahita‘u,75,14,14,7,adjective/adverb, (adj/adv) pertaining to the season or seasons; according to the season(s); seasonal(ly),24,709,1.00
114,fakafa‘ahitaha,75,14,14,7,adjective/verb, (adj/v) one-sided(ly); always on the same side,32,542,0.97
115,fakafa‘ē,75,8,9,5,adjective/adverb, (adj/adv) like or pertaining to a mother; as a mother; motherly,24,474,1.00
116,fakafā‘ele,75,10,11,6,verb, (v) to cause to give birth; to cause to be born,24,516,1.00
117,fakafanau,75,9,9,5,noun, (n) ones wife's child begotten by a former husband but born after one’s marriage to the woman and regarded as one’s own,26,521,0.96
118,fakafanongo,75,11,10,5,verb," (v) to listen deliberately, to give heed",24,592,0.96
119,fakafāsi‘i,75,10,11,6,verb, (v) to make narrow or narrower,29,518,1.00
120,fakafatongia,75,12,11,6,adjective/adverb," (adj/adv) obligatory, imposed as a duty; as a matter of duty",24,549,0.92
121,fakafe‘auhi,75,11,11,6,adjective/adverb, (adj/adv) competitive(ly),32,566,0.97
122,fakafe‘unga,75,11,10,5,verb, (v) to cause to fit or go along with,24,517,0.96
123,fakafeʻao,75,9,9,5,noun," (n) person accompanying and assisting a chief, escort, aide- de-camp",24,602,0.88
124,fakafefine,75,10,10,5,adjective/adverb, (adj/adv) like or pertaining to a woman or to women; womanly,26,558,0.96
125,fakafehālaaki,75,13,14,8,verb, (v) causing to be out of step; to cause to be out of step; to put out of step,24,626,1.00
126,fakafeʻiloaki,75,13,13,7,verb, (v) to introduce (two persons or one person to another); to introduce oneself or pay one’s respects,29,517,0.97
127,fakafepaki,75,10,10,5,verb, (v) to oppose or resist,24,563,0.88
128,fakafeta‘i,75,10,10,5,verb," (v) to be thankful, to express thanks",32,514,1.00
129,fakafetu‘utaki,75,14,14,7,verb, (v) to join or connect,24,565,1.00
130,fakafiefia,75,10,10,6,adjective, (adj) producing happiness or joy,24,566,0.92
131,fakafiemālie,75,12,13,8,verb, (v) causing to be easy in mind; giving comfort or satisfaction,26,553,0.96
132,fakafiemālieʻi,75,14,15,9,verb, (v) to set a person's mind at rest; to console or soothe; comfort; please; satisfy,24,544,1.00
133,fakafihi,75,8,8,4,verb," (v) to make tangled, to entangle; to make intricate, to complicate, to obstruct",28,673,1.00
134,fakafisi,75,8,8,4,verb," (v) to resign from; to dissent from, refuse to ratify, veto; decline or refuse to do something",24,585,0.96
135,fakafiu,75,7,7,4,verb," (v) wearisome, tedious, tiresome, monotonous; troublesome, making a nuisance of oneself",32,489,0.97
136,fakafoki,75,8,8,4,verb," (v) to cause to return, to return; to take or give back; to restore, reinstate; to reverse, rescind, revoke, withdraw ",24,503,0.92
137,fakafo‘i,76,8,8,4,adjective, (adj) causing timidity or cowardice,24,597,0.96
138,fakafo‘ituitui,76,14,14,8,adverb," (adv) individually, one at a time",26,609,1.00
139,fakafo‘ohake,76,12,12,6,verb, (v) to turn face upwards,24,649,1.00
140,fakafo‘ohifo,76,12,12,6,verb, (v) to turn face downwards,29,518,1.00
141,fakafo‘ou,76,9,9,5,verb," (v) to renew; to refresh, restore, renovate",23,557,1.00
142,fakafokifā,76,10,11,6,adverb," (adv) suddenly, instantaneously",32,539,0.97
143,fakafolau,76,9,9,5,adjective," (adj) pertaining to, or characteristic of voyaging",23,518,1.00
144,fakafonu,76,8,8,4,verb, (v) to fill; to fill in (a form),24,495,1.00
145,fakafonua,76,9,9,5,noun, (n) matters pertaining to the land; civil or national matters,26,518,0.96
146,fakafua,76,7,7,4,verb," (v) to cause to bear fruit, to make fruitful",24,566,1.00
147,fakafuakava‘i,76,13,13,7,verb," (v) to administer an oath to, to put on oath, swear in",29,592,1.00
148,fakafufū,76,8,9,5,adjective, (adj) secret; done secretly,24,487,1.00
149,fakafungavaka,76,13,12,6,adjective/verb, (adj/v) having one or more decks (or stories),32,558,0.97
150,fakafuofua,76,10,10,6,adjective," (adj) estimated, regulated, controlled",24,750,1.00
151,fakafuoloa,76,10,10,6,verb," (v) to make long or lengthen (in time), to prolong",24,567,1.00
152,fakafuopotopoto,76,15,15,8,verb, (v) to make round or in circular form,26,654,1.00
153,fakahā,76,6,7,4,verb," (v) to cause to appear, to show, disclose, reveal; to tell, make known; to announce",24,560,1.00
154,faka-Haʻamoa,76,11,11,6,adjective/adverb, (adj/adv)Samoan; in a Samoan way,29,547,1.00
155,fakahāhā,76,8,10,6,verb," (v) to show, to demonstrate, to express; to announce, publicize or advertise; to explain briefly, give a brief outline",24,542,1.00
156,fakahake,76,8,8,4,verb," (v) to remove from water; to beach, bring or take ashore; to introduce (a custom) to a country",32,486,0.97
157,fakahala,76,8,8,4,verb," (v) to cause to err, to mislead, delude, cause to go wrong or make a mistake",24,571,1.00
158,fakahalaia,76,10,10,6,verb," (v) to hold guilty or declare to be guilty; to condemn or denounce; incriminate, show to be guilty",24,653,0.96
159,fakahanga,76,9,8,4,verb, (v) to turn so as to face in a specified direction,26,552,1.00
160,fakahangatonu,76,13,12,6,verb," (v) to make straight, to straighten; to turn so as to face directly to something",24,625,1.00
161,fakahaohaoa,76,11,11,7,verb," (v) to perfect, to cause to be perfect or just as it should be",29,650,0.97
162,fakahauhau,76,10,10,6,verb, (v) to dampen or moisten,24,657,1.00
163,fakahē,76,6,7,4,adjective, (adj) causing to wander; misleading,31,507,1.00
164,fakaheheke,76,10,10,5,verb, (v) to slide along; to skate or ski,24,571,0.92
165,fakaheka,77,8,8,4,verb, (v) to take or put on board; to load (cargo),24,554,0.96
166,fakahekea,77,9,9,5,adjective/verb, (adj/v) causing to slip,26,568,0.96
167,fakahekeheke,77,12,12,6,verb, (v) to make smooth and slippery,24,520,1.00
168,fakahela,77,8,8,4,verb," (v) to make oneself tired, to tire oneself",29,517,0.97
169,fakahifo,77,8,8,4,verb," (v) to put down, put off, unload (cargo); to depose, dismiss, expel from office or membership",24,493,0.96
170,fakahihifi,77,10,10,5,adverb," (adv) on the slope, diagonally",32,526,1.00
171,fakahīkihiki,77,12,13,7,verb," (v) to exalt, extol, praise, honor; to utter praise",24,556,1.00
172,fakahingoa,77,10,9,5,verb, (v) to name,24,580,0.96
173,fakahinisi,77,10,10,5,adjective," (adj) hinge-like, having hinges, hinged",26,798,0.96
174,fakahinohino,77,12,12,6,noun, (n) advice,24,541,1.00
175,fakahisitōlia,77,13,14,8,adjective/adverb," (adj/adv) historic, historical (ly)",29,559,0.93
176,fakaho‘atā,77,10,11,6,adjective/adverb," (adj/adv) like or pertaining to noon; at noon, in the middle of the day",24,520,1.00
177,fakahoa,77,7,7,4,verb," (v) to mate, pair, or couple; to couple together",32,558,0.97
178,fakahoha‘a,77,10,10,5,verb," (v) to cause trouble, worry, bother, or great discomfort",24,480,0.96
179,fakahoha‘asi,77,12,12,6,verb," (v) to worry, trouble, bother",24,578,0.96
180,fakahoko,77,8,8,4,verb," (v) to join, unite, make into one; to perform, fulfil, carry out; to pass, approve, agree to; to transmit, deliver, pass on",26,506,1.00
181,fakahokohoko,77,12,12,6,verb," (v) to arrange in order or succession one after another; to continue, or to be carried on, generation after generation",23,567,1.00
182,fakaholomui,77,11,11,6,verb," (v) to go backwards; to retreat, fall back",29,564,0.83
183,fakahopo,77,8,8,4,verb," (v) to cause or allow to jump or leap; to bring forward a person before a meeting or law court; to excise, cut and lift out",23,533,1.00
184,fakahū,77,6,7,4,verb," (v) to cause or allow to enter, to admit; to insert; to import or export; to pay in or deposit",32,582,0.97
185,fakahū ki tuʻa,77,12,13,7,verb," (v) to put out, put outside; to issue (money, stamps)",24,563,1.00
186,fakahū mai,77,9,10,6,verb, (v) to bring in or out (this way),24,612,1.00
187,fakahuhu,77,8,8,4,verb," (v) to suckle, breast-feed",26,587,0.96
188,fakahuʻu,77,8,8,4,verb, (v) to place so as to have his(or her or its) head in a specified direction,24,518,1.00
189,fakaifo,77,7,7,4,verb," (v) to make tasty, to flavor, to season",29,494,1.00
190,fakaikiiki,77,10,10,6,verb, (v) to cut into small pieces; to examine or explain in detail,24,607,0.96
191,fakaiku,77,7,7,4,verb," (v) to affix a tail or an end; fix a paper tail to a kite; to conclude, end up, finish up ",32,534,0.97
192,fakailifia,78,10,10,6,adjective/verb," (adj/v) frightening, terrifying",24,529,0.96
193,fakainu,78,7,7,4,verb," (v) to cause to drink, to give (person or animal) something to drink",24,582,0.88
194,fakaivi‘i,78,9,9,5,verb, (v) to give power or ability to; to enable,26,502,1.00
195,fakaivilahi,78,11,11,6,adjective/verb, (adj/v) imparting great power or ability,24,746,0.96
196,fakaivimālohi,78,13,14,8,adjective/verb," (adj/v) producing or imparting strength, power, or ability; strengthening",29,557,1.00
197,fakaivisiʻi,78,11,11,6,adjective/verb, (adj/v) making or tending to make incompetent or not up to the task,24,622,1.00
198,fakaivivaivai,78,13,13,8,adjective/verb," (adj/v) weakening, making or tending to make weak",32,577,0.97
199,fakakafu,78,8,8,4,verb," (v) to provide with, or cover with, a sheet",24,567,0.96
200,fakakahoa,78,9,9,5,verb, (v) to put a necklace or garland on,24,751,0.92
201,fakakai,78,7,7,4,adverb," (adv) for a stake, or the loser to provide food",25,621,0.96
202,fakakaikai,78,10,10,6,verb, (v) to leave a horse or a cow loose in a public place where it may forage for itself under supervision (not tied up),24,620,1.00
203,fakakāinga,78,10,10,6,verb, (v) to cheat by copying from another pupil’s book,29,514,1.00
204,fakakaivao,78,10,10,6,adjective/adverb, (adj/adv) like or pertaining to people who are uncivilized,24,764,0.88
205,fakakakato,78,10,10,5,verb," (v) to complete, to bring to completion",32,561,0.97
206,fakakakau,78,9,9,5,verb, (v) to cause or allow to swim,24,566,0.96
207,faka-Kalaisi,78,11,11,6,adjective/adverb," (adj/adv) Christlike, in a Christlike way",24,542,1.00
208,fakakalasi,78,10,10,5,adjective/adverb, (adj/adv) in or according to classes,26,546,1.00
209,faka-Kalisitiane,78,15,15,8,adverb," (adv) as befits a Christian, harmonious with Christianity",24,693,1.00
210,fakakaloni,78,10,10,5,verb," (v) to provide with scent; to scent, sprinkle scent on",29,619,1.00
211,fakakata,78,8,8,4,verb, (v) to excite laughter; to act or speak in a joking or humorous manner,24,593,1.00
212,fakakātoa,78,9,10,6,verb, (v) to unite or combine as one whole,32,493,1.00
213,fakakau,78,7,7,4,verb, (v) to cause to belong to; to put or insert or include or enter,24,596,0.96
214,fakakaukau,78,10,10,6,verb," (v) to think, ponder, consider; to intend or have in mind to do something",24,598,1.00
215,fakakaunga,78,10,9,5,noun, (n) origin of one’s connexion or way in which one is connected or related,26,564,1.00
216,fakakaungāme‘a,78,14,14,8,verb, (v) to be friendly or sociable; to associate or be friendly with,24,614,1.00
217,fakakautaha,78,11,11,6,verb, (v) to act together as an association,29,598,1.00
218,fakakautau,78,10,10,6,adjective/adverb," (adj/adv) as or pertaining to armies or soldiers; soldierly, martial, militarily",24,677,1.00
219,fakakauvaka,79,11,11,6,verb," (v) to supply with a crew, to man (a boat)",32,600,0.91
220,fakakava,79,8,8,4,verb, (v) to provide kava for,24,576,1.00
221,fakakavenga,79,11,10,5,verb, (v) to burden or be a burden to,24,634,1.00
222,fakakehe,79,8,8,4,verb," (v) to make different, to alter or change",26,597,0.96
223,fakakehekeheʻi,79,14,14,7,verb, (v) to treat differently from each other,24,609,1.00
224,fakakelesi,79,10,10,5,verb, (v) to endow with grace,29,610,1.00
225,fakakiki,79,8,8,4,verb, (v) to provide the meat or fish for a meal,32,510,0.94
226,fakakikihi,79,10,10,5,verb," (v) to argue, to reason, to take part in a dispute or debate or argument",24,570,0.96
227,fakakikila,79,10,10,5,verb, (v) to open eyes very widely; to deliberately stare,24,562,0.96
228,fakakita,79,8,8,4,verb, (v) to cause to have a relapse,26,515,1.00
229,fakakitekita,79,12,12,6,verb, (v) to have a slight relapse; to be in constant fear of a relapse,24,810,0.96
230,fakakole,79,8,8,4,verb, (v) to make a request,29,605,0.97
231,fakakolisi,79,10,10,5,adjective/adverb," (adj/adv) like or pertaining to a college, collegiate",24,560,0.96
232,fakakolo,79,8,8,4,adjective/adverb," (adj/adv) like or pertaining to a village, as a village, or by villages",31,622,0.97
233,fakakoloa,79,9,9,5,adjective," (adj) pertaining to goods or material wealth, or to business",24,631,1.00
234,fakakoloaʻia,79,12,12,7,adjective/verb," (adj/v) making rich, enriching",24,519,0.96
235,fakakoloaʻiaʻi,79,14,14,8,verb," (v) to make wealthy or rich, to enrich",26,605,0.96
236,fakakolomuʻa,79,12,12,6,adjective/adverb," (adj/adv) like or pertaining to a capital city, metropolitan",24,569,1.00
237,fakakolonia,79,11,11,6,adjective/adverb," (adj/adv) pertaining to colonies, colonial",29,708,0.93
238,fakakōmiti,79,10,11,6,adjective/adverb," (adj/adv) pertaining to a committee; as a committee, as a member of a committee",24,537,1.00
239,fakakomiunisi,79,13,13,7,adjective/adverb," (adj/adv) pertaining to communism, communistic",32,643,1.00
240,fakakona,79,8,8,4,adjective/verb," (adj/v) poisonous, liable to poison",24,511,0.96
241,fakakonā,79,8,9,5,adjective/verb," (adj/v) intoxicating, tending to intoxicate",24,502,1.00
242,fakakonahi,79,10,10,5,verb, (v) to make poison or intoxicating; to poison or intoxicate,26,558,1.00
243,fakakonaʻi,79,10,10,5,verb," (v) to make too salt, to over-salt",24,500,1.00
244,fakakonga,79,9,8,4,adverb," (adv) in part, partly",29,543,0.97
245,fakakongokonga,79,14,12,6,adverb," (adv) bit by bit, in parts or portions, by installments",24,689,0.96
246,fakakonifelenisi,79,16,16,8,adjective/verb, (adj/v) like or pertaining to the conference,32,571,0.94
247,fakakonisela,79,12,12,6,adjective/verb," (adj/v) pertaining to a consul, consular",24,749,0.75
248,fakakonisēnisi,79,14,15,8,adjective/adverb, (adj/adv) pertaining to the conscience,24,725,0.92
249,fakakōvana,79,10,11,6,adjective/adverb, (adj/adv) pertaining to a governor,24,538,1.00
250,fakakovi,79,8,8,4,verb," (v) to backbite, to say nasty or malicious things about other people",29,511,0.93
251,fakakū,79,6,7,4,interrogative/adverb," (interrog/adv) at what time, how soon, how long ago",24,534,0.96
252,fakakui,79,7,7,4,adjective/adverb, (adj/adv) like or pertaining to a grandparent etc. fakakui:(v)to wink,32,501,0.97
253,fakakuonga,79,10,9,5,adjective/adverb, (adj/adv) like or pertaining to a period or periods; changing from period to period,24,556,1.00
254,fakalafalafa,79,12,12,6,adverb," (adv) on the flat, side on; to hit side on",24,573,0.96
255,fakalahi,80,8,8,4,verb," (v) to make bigger or more numerous; to increase the size or quantity; to augment, extend, enlarge, exaggerate",26,517,1.00
256,fakalaka,80,8,8,4,verb, (v) to pass over or across; to cause to move on or along or forward; to promote or advance; to cause to progress or develop or improve; to overtake and pass,24,605,1.00
257,fakalakakimuʻa,80,14,14,7,verb," (v) to cause to advance or go ahead, to further the progress of",29,719,1.00
258,fakalakanga,80,11,10,5,adverb," (adv) in turns, one after another",24,651,1.00
259,fakalalave,80,10,10,5,verb," (v) to try to find out in an indirect way, to “put out feelers”",32,623,0.97
260,fakalāngilangi,80,14,13,7,noun," (n) honour, privilege",24,537,1.00
261,fakalāngilangi‘i,80,16,15,8,verb," (v) to give splendour to, to grace, to honour, to glorify",24,525,1.00
262,fakalanu,80,8,8,4,verb," (v) to color, to tint, to dye",26,592,0.92
263,fakalao,80,7,7,4,adjective/adverb," (adj/adv) legal(ly), legitimate(ly), by law",24,541,0.96
264,fakalata,80,8,8,4,adjective/verb," (adj/v) causing to feel at home or to be happy and contented; pleasant, congenial",29,539,1.00
265,fakalaulauloto,80,14,14,8,verb," (v) to turn over in one’s mind, to meditate upon, to use the imagination",24,682,0.96
266,fakalaumālie,80,12,13,8,noun, (n) spiritual meaning or aspect,32,534,1.00
267,fakalava,80,8,8,4,verb," (v) to bring to completion or fruition, to achieve or accomplish or complete",24,523,0.96
268,fakalave,80,8,8,4,verb," (v) to cause to touch, to cause to refer to, to cause to affect",24,644,0.88
269,fakalavea‘i,80,11,11,6,verb," (v) to wound, injure",26,548,1.00
270,fakale‘olahi,80,12,12,6,verb, (v) to make loud or louder,24,578,1.00
271,fakale‘osi‘i,80,12,12,6,adverb, (adv) softly (not loudly),29,543,1.00
272,fakalea,80,7,7,4,verb," (v) to cause to speak or to utter a sound; to sound; to toot, blow the horn of; to supply words or wording for to speak when one is not expected to; address or speak to",24,620,0.92
273,fakalele,80,8,8,4,verb, (v) to cause or allow to run; to propel; to run along with; to run or conduct (business); to have diarrhea,32,484,0.97
274,fakalelei,80,9,9,5,adverb," (adv) in a proper or friendly manner; properly, becomingly",24,562,0.96
275,fakalilifu,80,10,10,5,adjective/verb," (adj/v) terrifying, horrifying, gruesome, outrageous",24,524,0.96
276,fakalilo,80,8,8,4,verb," (v) to conceal, to keep secret or private",25,556,0.92
277,fakaloki,80,8,8,4,verb, (v) to provide (a boat or building) with a room or a cabin,24,581,1.00
278,fakaloloa,80,9,9,5,verb," (v) to stretch oneself out at full length, to sit with the legs stretched out",29,496,0.97
279,fakalōloa,80,9,10,6,verb," (v) to make long, to lengthen",24,566,1.00
280,falaloloa,80,9,9,5,adverb, (adv) (to lie) stretched out,32,751,0.72
